"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","User list response schema is valid","chrome","Mon May 25 08:41:10 UTC 2026","failed","Mon May 25 08:41:10 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","699","User detail response matches schema","chrome","Mon May 25 08:41:06 UTC 2026","failed","Mon May 25 08:41:07 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","493","Delete a user","chrome","Mon May 25 08:41:11 UTC 2026","failed","Mon May 25 08:41:11 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","683","404 on missing user returns empty body","chrome","Mon May 25 08:41:06 UTC 2026","failed","Mon May 25 08:41:07 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","671","Update an existing user","chrome","Mon May 25 08:41:08 UTC 2026","failed","Mon May 25 08:41:08 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","569","Patch a user job field","chrome","Mon May 25 08:41:09 UTC 2026","failed","Mon May 25 08:41:10 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","512","Failed login with invalid email returns 400","chrome","Mon May 25 08:41:09 UTC 2026","failed","Mon May 25 08:41:10 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","493","Failed registration with missing password returns 400","chrome","Mon May 25 08:41:12 UTC 2026","failed","Mon May 25 08:41:12 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","523","500 error from external endpoint","chrome","Mon May 25 08:41:10 UTC 2026","passed","Mon May 25 08:41:10 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","523","Get single user by ID","chrome","Mon May 25 08:41:13 UTC 2026","failed","Mon May 25 08:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","547","Create a new user and verify response","chrome","Mon May 25 08:41:06 UTC 2026","failed","Mon May 25 08:41:07 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","558","Failed login with missing password returns 400","chrome","Mon May 25 08:41:08 UTC 2026","failed","Mon May 25 08:41:08 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","501","Verify error response has proper structure","chrome","Mon May 25 08:41:10 UTC 2026","failed","Mon May 25 08:41:11 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","645","Successful registration with valid credentials","chrome","Mon May 25 08:41:11 UTC 2026","failed","Mon May 25 08:41:11 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","541","Successful login with valid credentials","chrome","Mon May 25 08:41:06 UTC 2026","failed","Mon May 25 08:41:07 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","665","Create user response schema is valid","chrome","Mon May 25 08:41:08 UTC 2026","failed","Mon May 25 08:41:09 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","638","Read user list and verify response time","chrome","Mon May 25 08:41:12 UTC 2026","failed","Mon May 25 08:41:12 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","629","400 on invalid request data","chrome","Mon May 25 08:41:08 UTC 2026","failed","Mon May 25 08:41:09 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
